Id,TagName,Count,ExcerptPostId,WikiPostId,IsModeratorOnly,IsRequired
"5177","metaclass","1039","10129372","10129371","",""
"5189","hashtable","5041","6722193","6722192","",""
"5210","http","62767","4924551","4924550","",""
"5276","inputstream","4182","13050150","13050149","",""
"5310","file","75673","5253619","5253618","",""
"5569","function","96797","4914091","4914090","",""
"5608","list","120419","5329259","5329258","",""
"5686","python-module","1698","9854514","9854513","",""
"5766","undo","797","5591360","5591359","",""
"5962","github","46095","4917212","4917211","",""
"6268","path","17255","6353967","6353966","",""
"6658","put","2052","13391006","13391005","",""
"6659","generator","5808","8906192","8906191","",""
"6752","cross-browser","8953","5704688","5704687","",""
"6837","jslint","997","5086424","5086423","",""
"6960","definition","1480","13270058","13270057","",""
"6981","object","57933","5329241","5329240","",""
"7324","standards-compliance","367","","","",""
"7330","repository","8211","5615947","5615946","",""
"7347","letter","380","15295703","15295702","",""
"7428","heap-memory","4303","8486046","8486045","",""
"7430","hashmap","13939","5312570","5312569","",""
"7954","inner-join","6142","6438129","6438128","",""
"7992","operators","7194","8623903","8623902","",""
"8000","overwrite","1370","8473019","8473018","",""
"8216","c++-faq","167","4127553","4127552","",""
"8257","stream","14351","5179617","5179616","",""
"8973","href","4710","5147233","5147232","",""
"8974","rebase","1910","15441503","15441502","",""
"8995","ternary-operator","1793","4912997","4912996","",""
"9116","highlight","2652","20708123","20708122","",""
"9132","alignment","8029","6063290","6063289","",""
"9482","placeholder","1918","12759905","12759904","",""
"9786","html-input","616","12456425","12456424","",""
"9798","cpu-architecture","2696","22107396","22107395","",""
"10193","find","10392","7065858","7065857","",""
"10343","email-validation","1134","10641135","10641134","",""
"10355","parameter-passing","7375","7497015","7497014","",""
"10402","include","9283","8897478","8897477","",""
"11549","nullpointerexception","15586","5588986","5588985","",""
"11658","pass-by-reference","4072","9435648","9435647","",""
"11659","pass-by-value","1057","10849957","10849956","",""
"11788","capitalize","284","14881506","14881505","",""
"13012","units-of-measurement","551","12310506","12310505","",""
"13986","selected","886","17509756","17509755","",""
"14467","let","644","8206073","8206072","",""
"14691","outer-join","1557","10133643","10133642","",""
"14914","matching","2392","12072311","12072309","",""
"15904","conditional-operator","1483","3625170","3625169","",""
"16088","time-complexity","8654","5439924","5439923","",""
"16609","flatten","1079","6123898","6123897","",""
"17016","coroutine","1806","7394184","7394183","",""
"17150","string-matching","2023","7594646","7594645","",""
"19230","background-color","3310","12802580","12802579","",""
"19691","textselection","420","14975088","14975087","",""
"20423","dimension","730","22591707","22591706","",""
"20851","slice","5240","13358610","13358609","",""
"25056","gitignore","2590","7686511","7686510","",""
"25430","multidimensional-array","32292","6583885","6583884","",""
"27853","rfc3986","50","9110322","9110321","",""
"28896","git-pull","1099","13362057","13362056","",""
"28897","git-merge","2923","13361986","13361985","",""
"28898","git-push","1454","9317360","9317359","",""
"29274","dynamic-memory-allocation","2836","11383625","11383624","",""
"29720","urn","67","37545733","37545732","",""
"30968","git-amend","127","15476933","15476932","",""
"31678","remote-branch","134","","","",""
"31802","python-datamodel","85","56504327","56504326","",""
"32002","file-exists","579","23584420","23584419","",""
"33720","git-fetch","360","12081220","12081219","",""
"33786","checked","782","15263463","15263462","",""
"34099","git-clone","1155","13361567","13361566","",""
"34403","git-revert","422","9312359","9312358","",""
"34792","git-add","307","8192157","8192156","",""
"37230","git-checkout","990","9321158","9321157","",""
"37904","regex-negation","1798","11680726","11680725","",""
"40180","use-strict","98","23177841","23177840","",""
"41346","git-remote","829","12080973","12080972","",""
"42532","squash","258","15503313","15503312","",""
"42676","http-headers","11009","5122584","5122583","",""
"43000","centering","1991","10788838","10788837","",""
"46426","node.js","400322","4238969","4238968","",""
"47735","soft-keyboard","276","26288229","26288228","",""
"50067","javascript-objects","5734","12762831","12762830","",""
"51381","git-reset","443","8276342","8276341","",""
"53233","android-layout","57757","5872749","5872748","",""
"53847","branching-and-merging","1394","9942709","9942708","",""
"53850","git-commit","1755","15377034","15377033","",""
"58501","equality-operator","59","38112886","38112885","",""
"59797","android-softkeyboard","2636","7503182","7503181","",""
"60718","git-tag","479","12796845","12796844","",""
"61387","npm","40288","4999497","4999496","",""
"62599","merge-conflict-resolution","652","9786563","9786562","",""
"63226","android-input-method","410","14651432","14651431","",""
"64956","android-edittext","11827","7258022","7258021","",""
"74984","branch-prediction","316","18297932","18297931","",""
"75999","identity-operator","16","42225185","42225184","",""
"76220","git-branch","2887","8759281","8759280","",""
"77128","semantic-versioning","507","9164822","9164821","",""
"78022","angularjs","262230","9580981","9580980","",""
"86033","ecmascript-6","27921","16606447","16606446","",""
"88242","python-decorators","1942","14896572","14896571","",""
"90304","docker","102454","15699487","15699486","",""
"91259","git-rewrite-history","291","16223739","16223738","",""
"98455","git-squash","173","20359920","20359919","",""
"101751","semantics","1656","22212458","22212457","",""
"106113","git-merge-conflict","386","25071317","25071316","",""
"108901","package.json","2457","27564902","27564901","",""
"112901","git-rm","110","31018909","31018908","",""
"143413","python-class","235","61132957","61132956","",""
