Id,PostId,Score,Text,CreationDate,UserId
"18916","105078","9","Note that this isn't a GUID in the technical sense, because it does nothing to guarantee uniqueness.  That may or may not matter depending on your application.","2008-09-19 08:07:33","7154"
"19012","105074","204","Actually, the RFC allows for UUIDs that are created from random numbers. You just have to twiddle a couple of bits to identify it as such.

See section 4.4. Algorithms for Creating a UUID from Truly Random or Pseudo-Random Numbers:

http://www.rfc-archive.org/getrfc.php?rfc=4122","2008-09-19 08:28:33","6159"
"19046","105034","24","GUIDs when repesented as as strings are at least 36 and no more than 38 characters in length and match the pattern ^\{?[a-zA-Z0-9]{36}?\}$ and hence are always ascii.","2008-09-19 08:35:06","17516"
"91663526","244858","0","Just capturing a relevant excerpt from the first link that @MichaelBurr provided (the second is seemingly irretrievable): ""Suppose you are using JSON to keep configuration files, which you would like to annotate. Go ahead and insert all the comments you like. Then pipe it through `JSMin` before handing it to your JSON parser.""--Douglas Crockford","2018-09-17 12:45:34","148680"
"24284","116252","4","That's exactly what I said.  Both paragraphs are addressed in the snippet of FAQ I posted.","2008-09-22 05:36:50","8454"
"24399","105078","3","A quick note about performance. This solution creates 36 strings total to get a single result. If performance is critical, consider creating an array and joining as recommended by:

http://tinyurl.com/y37xtx

Further research indicates it may not matter, so YMMV:

http://tinyurl.com/3l7945","2008-09-22 06:14:32","17834"
"25060","116252","1","I think the aside is unteresting and useful to know -- it can be fixed, just don't expect it anytime soon when there's such an easy workaround for most cases.","2008-09-22 10:10:36","15464"
"25994","116252","0","Sorry, I didn’t read the last paragraph, and while I did read the first paragraph, well, I’m not sure why I repeated that information.","2008-09-23 07:37:13","9410"
"29409","116252","2","Of course, this extra answer does serve to point out the fact.","2008-09-24 06:44:42","17688"
"60278562","59916","1","@mattb This version failed with directory names that contain special chars and double quote char. e.g. **mkdir ""$(printf ""\1\2\3\4\5\6\7\10\11\12\13\14\15\16\17\20\21\22\23\24\25\26\27\30\31\32\33\34\35\36\37\40\41\42\43\44\45\46\47testdir"" """")""**","2016-03-31 08:32:41","6010343"
"35080","134853","69","The way to avoid that is to return false in the onclick event handler.","2008-09-25 09:22:54","16800"
"36161","135248","133","This approach restricts the 'link' to a mouse only operation.  An anchor can be visited via the keyboard and its 'onclick' event is fired when the enter key is pressed.","2008-09-26 07:09:01","17516"
"36167","135139","1","The blog entry does not cite the reference as to why javascript:void(0) should be avoided.","2008-09-26 07:20:27","17516"
"36239","134865","20","So in user agents with JavaScript enabled and the function supported this run a JavaScript function, falling back (for user agents where the JS fails for whatever reason) to a link to the top of the page? This is rarely a sensible fallback.","2008-09-26 08:09:21","19068"
"36242","134853","35","Returning false in the event handler doesn't avoid that if JavaScript the JS doesn't run successfully.","2008-09-26 08:10:02","19068"
"36456","136138","776","A staticmethod isn't useless - it's a way of putting a function into a class (because it logically belongs there), while indicating that it does not require access to the class.","2008-09-26 10:10:35","4966"
"36738","136103","3","The only downside with this (from memory, I may be wrong) is that IE doesn't consider an A to be an A if you don't have a href inside it. (So CSS rules won't work)","2008-09-26 12:01:55","11410"
"37041","136138","149","Hence only 'basically' useless. Such organization, as well as dependency injection, are valid uses of staticmethods, but since modules, not classes like in Java, are the basic elements of code organization in Python, their use and usefulness is rare.","2008-09-26 01:40:00","17624"
"37437","134865","23","""ideally with a real link to follow in case the user has JavaScript disabled"", it should be going to a useful page not #, even if it's just an explanation that the site needs JS to work. as for failing, I would expect the developer to use proper browser feature detection, etc before deploying.","2008-09-26 03:41:58","9128"
"39044","134853","31","using ""#someNonExistantAnchorName"" works well because it has nowhere to jump to.","2008-09-27 02:46:32","6144"
"45077839","22654961","38","I don't know why this is not rated higher. Dead simple, and without the small but potential danger of git reset --hard.","2015-02-06 02:56:24","584503"
"60385","176269","0","I thought it was the other way around. A URL refers to a concrete object, and a URI can refer to that or a concept or anything else.","2008-10-06 09:30:00","5697"
"60392","176269","4","A URL locates a resource and is a kind of URI, which identifies a resource.","2008-10-06 09:33:40","1659"
"60413","176274","16","Only URIs with the urn: scheme are URNs. A URI could be a classic URL, a URN, or just a URI that doesn't start with ""urn:"" and doesn't refer to a location of a resource.","2008-10-06 09:38:57","1659"
"60439","176274","0","One example are InfoPath URNs, which are important i.e. in Sharepoint Workflows: urn:schemas-microsoft-com:office:infopath:blogsample:-myXSD-2004-05-19T20-48-18","2008-10-06 09:49:54","91"
"14442258","10563611","1","So, if the name of the branch you `checkout` is the identical to the name of the remote branch, everything after the ""/"", then git will create a branch of the same name, everything after the ""/"", ""tracking"" that remote? And by tracking, we mean: `git push`, `git pull`, etc. will be done on that remote? If this is correct, then expand on your answer with more information, because I aggree with @Daniel, this answer deserves more rep.","2012-06-14 10:08:23","934739"
"45082482","8212184","1","""The notion of ""a value that might be a value of type T OR nothing"" is its own type, and should be represented as such (e.g. Maybe<T> or Optional<T>)"" - you may think that all references in Java are Optional<T> and you may switch to DefinetlyInitialized<T> by for using underused final keyword or introduce Mandatory<T>. So what's the difference?.. Anyway I like current Java defaults more because things around us are rather optional. It is optional for 'the kettle to be filled with water before cooking', and that 'there is some fuel in the car before you leave' etc.","2015-02-06 05:03:37","448078"
"71122","179123","868","For those somewhat new to git: Laurie's point about having not yet pushed is important.  Like rebasing, this is changing the history.  If someone has cloned/pulled from your repo between the original and rewritten history then they won't be able to pull after the rewrite (for that branch).","2008-10-10 08:12:17","825"
"91693787","1202969","4","I am not familiar with Nice, but Kotlin implements the same idea, have nullable and not-null types build into the language's type system. A lot more concise than Optionals or null Object pattern.","2018-09-17 07:29:03","2583402"
"107623680","59901196","4","This regex fails on 'user+addition@gmail.com' and on 'user@email.longdomain'. Do not use.","2020-03-24 11:15:49","2060993"
"45094055","28057591","2","This will work for very common, basic email addresses, but there are certain edge cases where this will reject valid email addresses. If you've read the other 36(!) answers on here, you would have known that by now.","2015-02-07 12:12:43","2074608"
"45095703","2341539","3","If your page loads jQuery then use `$.isEmptyObject()`, don't waste cycles with non-obvious conversions.","2015-02-07 02:17:01","1162195"
"107629225","927358","4","@YiminRong Undo *what* exactly? There are dozens of very different functional cases where ""undoing"" means something **completely** different. I'd bet adding a new fancy ""magic wand"" would only confuse things more.","2020-03-24 02:27:03","1057485"
"85806","215266","0","You don't need to prefix System to use String.","2008-10-18 07:24:16","4092"
"60309994","11444416","10","`let` at the top level scope is *not* identical to `var` -- `let` explicitly will not create globally-scoped references: https://developer.mozilla.org/en-US/docs/Web/JavaScript/Reference/Statements/let#Scoping_rules","2016-03-31 09:28:39","438992"
"60310094","30606474","44","@stimpy77	 It explicitly states ""let is scoped to the nearest enclosing block""; does every way that manifests need to be included?","2016-03-31 09:32:13","438992"
"60310270","30606474","8","there were a lot of examples and none of them properly demonstrated the matter .. I might've upvoted both the accepted answer and this one?","2016-03-31 09:38:33","11398"
"45107223","487278","0","_""In comparing search algorithms we decide that this comparison is our 'n'.""_ Slight wording tweak needed. I think you mean that the comparison is ""the operation we care about"", not ""our 'n'"". 'n' is the number of items, in this case, the number of names in the phone book. Overall, great answer.","2015-02-07 04:49:47","80112"
"107638945","1274447","2","It would help if the answer also specified how to avoid the removal of files that are now untracked and added to gitignore when someone else performs a git pull.  Also, when switching branches, the files will be removed.  this is highly problematic if you have tmp files that represent a state (eg in terraform) that get blown away.","2020-03-24 07:59:26","1692999"
"97117","59916","30","For portability beyond bash, $0 may not always be enough.  You may need to substitute ""type -p $0"" to make this work if the command was found on the path.","2008-10-23 08:15:01","22704"
"99470","231778","115","This is close, but not correct.  Every time you call a function with a yield statement in it, it returns a brand new generator object.  It's only when you call that generator's .next() method that execution resumes after the last yield.","2008-10-24 06:11:04","30153"
"14471527","9849276","0","It returns true if ""b"" is in the array ""a""... I don't know how else to explain it...","2012-06-16 12:41:36","1145932"
"100409","231801","1","`__getitem__` could be defined instead of `__iter__`. For example: `class it: pass; it.__getitem__ = lambda self, i: i*10 if i < 10 else [][0]; for i in it(): print(i)`, It will print: 0, 10, 20, ..., 90","2008-10-25 02:03:38","4279"
"29489200","4200724","2","Nice solution, but some refactoring will be better! :)","2013-11-07 09:10:08","661933"
"29489572","1375234","1","or shorter: `return type.GetFields().Where(x => x.IsLiteral).Select(x => x.GetValue(null)).Cast<Enum>();`","2013-11-07 09:21:54","661933"
"29489695","105402","161","@Jessy this *does* work in case of duplicate situations like `enum E {A = 0, B = 0}`. `Enum.GetValues` results in two values being returned, though they are the same. `E.A == E.B` is true, so there is not distinction. If you want individual names, then you should look for `Enum.GetNames`.","2013-11-07 09:25:53","661933"
"106892","244777","184","@StingyJack:  To explain things that may not be obvious, or whatever else one might do with comments.  I for one often have comments in data files.  XML, ini files, and many other formats include provisions for comments.","2008-10-28 08:51:29","12711"
"107955","66271","10","You can do it all in one line like this:

DIRECTORY=$(cd `dirname $0` && pwd)","2008-10-29 08:38:07","7412"
"29495904","16620746","0","Try this as well - this worked for me: 	InputMethodManager imm = ((InputMethodManager) getSystemService(Activity.INPUT_METHOD_SERVICE));
	imm.hideSoftInputFromWindow(getWindow().getCurrentFocus().getWindowToken(), 0);","2013-11-07 12:20:58","1414726"
"75226936","11444416","3","This answer does not address part of the question: ""When should `let` be used over `var`?"".  

I've attempted to answer that along with collecting a lot of the useful material in other answers [below](/questions/762011/#44103318).  If some kind soul is willing to see this put into the community wiki, I will not object to copy-paste in whole or in part.","2017-05-22 01:27:09","643826"
"107644601","53183593","3","Why isn't this the accepted answer? Is there any difference using `realpath` from resolving ""manually"" with a loop of `readlink`? Even the `readlink` man page says `Note realpath(1) is the preferred command to use for canonicalization functionality.`","2020-03-25 01:14:16","7420421"
"107644834","53183593","1","And by the way shouldn't we apply `realpath` before `dirname`, not after? If the script file itself is a symlink... It would give something like `DIR=""$(dirname ""$(realpath ""${BASH_SOURCE[0]}"")"")""`. Actually very close to the answer proposed by Simon.","2020-03-25 01:32:10","7420421"
"107645376","55291427","0","@Dev not in all the cases Dev, I had to update recently since using bitbucket and codecommit, step 3 is necessary","2020-03-25 02:19:52","5661594"
"126666","273208","22","with the try/except, you will mask errors in directory creation, in the case when the directory didn't exist but for some reason you can't make it","2008-11-07 07:09:55","1199"
"126884","273227","8","The race condition is a good point, but the approach in http://stackoverflow.com/questions/273192/#273208, will mask a failure to create the directory. Don't feel bad for voting down - you don't like the answer. It's what votes are for.","2008-11-07 08:35:41","1199"
"75234175","28865728","5","This answer is a lot more easy to understand. I can see the clearly pictures of real example of the URLs & URN. And for anyone to read more about this... https://danielmiessler.com/study/url-uri/","2017-05-22 07:41:58","128761"
"14486649","105402","107","This doesn't work if you have duplicate values in the enumerator list.","2012-06-17 03:50:38","652038"
"45131477","176264","38","There still seems to be a lot of confusion about URI vs URL, even by those who attempted to answer the question. It would benefit everyone to see practical examples of URLs that are not URIs, examples of URIs that are not URLs, and examples that are URLs *and* URIs.","2015-02-08 06:43:00","72321"
"60338414","6591218","3","After doing this, you should also run `git push origin :<old_name> <new_name>` to update your remote branch names.","2016-04-01 02:52:32","4926060"
"107658442","927358","24","@YiminRong Not buying it. People would still fumble and undo things not to be undone. But more importantly, `git reflog` is already close to what you describe, but gives the user more control on what's to be (un)done. But please, no, ""undo"" does not work the same everywhere, and people would *expect* many different things for the feature to achieve. Undo last commit? Undo last action? If last action was a push, undo how exactly, (reset and push) or (revert and push)?","2020-03-25 01:23:33","1057485"
"91736655","100146","30","ppperry he obviously meant you can't recreate type without using type itself as a metaclass. Which is fair enough to say.","2018-09-18 11:24:10","7513138"
"14499679","7216269","1","Agree with @test - I found this answer very useful. I had problems with a repository where I had a replace which broke the history, but it worked with this method. Thanks a lot for mention this method Dave !","2012-06-18 03:13:57","907892"
"107666216","36344404","3","Step by step: https://github.com/desktop/desktop/issues/1785#issuecomment-483011281","2020-03-25 05:03:10","1154773"
"14500851","9849276","4","This part I dont understand ""!!~"". And I think this will not work in IE8 because IE8 doesnt support indexOf() on Array object.","2012-06-18 05:29:51","126414"
"14506669","487278","76","_""By the time you get to 200 towns there isn't enough time left in the universe to solve the problem with traditional computers.""_ When the universe is going to end?","2012-06-18 10:43:39","161640"
"91749097","32299832","0","@kojow7 As opposed to ""layered"". Instead of text floating on top of the other elements. It is similar to the difference between SVG and PNG images.","2018-09-19 09:35:59","1009901"
"29518769","671132","2","It's amazing how an answer that's completely misleading and misses the point completely is so popular. This answer isn't merely incomplete, as the author suggests in the edit. It's absolutely wrong.","2013-11-07 11:12:12","1202421"
"91760121","10442532","0","Probably `input.getContext().getSystemService(Context.INPUT_METHOD_SERVICE)`.","2018-09-19 02:28:11","2914140"
"14515425","487278","1","""For two one million digit numbers we need to do one trillion (1012) multiplications and two million adds.""  Given that there are at most 10 unique numerals in each million digit number, memoization means that you need to do at most 20 * 1 million digits multiplications if you have O(n) space.","2012-06-18 04:01:07","20394"
"29527140","671132","0","thanks for your instance. It may be about some operatoins on the resources. However,in the most common implementation scenario, operations stand for the GET/POST/PUT/DELETE/PATCH method in HTTP and the parameter is URI which stands for the resources.","2013-11-08 07:30:00","1889327"
"75277213","549","0","What about using time, that is needed to fill in the form? One should do some research, present a website to bots like meat an observe the time needed to fill the form and submit. Should be under a second. Then observe what time human users need. Simply take the average or even do a bayes classification to differenciate the one from another...","2017-05-23 08:19:28","1056644"
"14521615","762018","55","@olliej, actually Mozilla is just ahead of the game. See page 19 of http://www.ecma-international.org/publications/files/ECMA-ST/Ecma-262.pdf","2012-06-18 08:16:29","652722"
"60370665","11892411","0","And it never occurred to me that no test can be conclusive, unless it runs as root.  `test -d /unreadable/exists` will fail, even if the argument exists.","2016-04-02 05:32:46","667820"
"14524625","67699","148","The accepted answer here (`git branch -a`) shows you the branches in the remote, but if you attempt to check any of those out you will be in a 'detached HEAD' state. The next answer down (second most upvotes) answers a different question (to wit: how to pull all branches, and, again, this only works for those you're tracking locally). Several of the comments point out that you could parse the `git branch -a` results with a shell script that would locally track all the remote branches. Summary: There's no git native way to do what you want and it might not be all that great an idea anyway.","2012-06-18 10:43:52","955159"
"14527744","7244456","110","As your fork only exists on github, and github does not have tools for doing merges through the web interface, then the right answer is to do the upstream merge locally and push the changes back to your fork.","2012-06-19 03:50:50","9279"
"14527784","7244456","33","Here is a great tutorial I found on working with github: http://gun.io/blog/how-to-github-fork-branch-and-pull-request/","2012-06-19 03:55:04","9279"
"45166739","22345808","468","Posting here to hopefully catch people that don't quite think this through, but both ^ and ~ assumes you can trust minor and point releases from your dependencies.  If you are publishing a library and want other people to trust you, DO NOT BLINDLY ACCEPT DOWNSTREAM DEPENDENCIES. A bad dot release from your dependency can cause a chain reaction upstream, and will have people knocking at YOUR door when things go pear shaped.   This is another huge reason to use npm shrinkwrap on your production code.","2015-02-09 06:33:52","1226657"
"29544475","15315403","0","That's a good point alex!. I thing that we both agree that this method isn't thread-safe in many ways. Even the input stream operations aren't thread-safe.","2013-11-08 04:19:44","903998"
"202429","373834","25","Git never removes anything. Your old commits are still there but unless there is a branch tip pointing at them they are not reachable anymore. git reflog will still show them until you clean your repository with git-gc.","2008-12-17 09:15:21","43582"
"29547456","5201642","213","Ha! I like this method.  It is the one closes to the spirit of the problem.  It's a pity that it requires so much voodoo.  Something like this should be added to one of the basic commands.  Possibly `git rebase --squash-recent`, or even `git commit --amend-many`.","2013-11-08 05:50:16","658298"
"107708215","59418364","0","Please put the information from the comments into your answer (by [editing your answer](https://stackoverflow.com/posts/59418364/edit)). Stack Overflow is [not a forum](http://meta.stackexchange.com/a/92115). Thanks in advance.","2020-03-27 12:11:37","63550"
"107708802","51023211","0","What is the difference? Will it work with spaces in the file path?","2020-03-27 12:59:23","63550"
"14542367","9849276","63","""~"" is an operator that floors, inverts and subtracts 1 from a number. indexOf returns -1 if it fails, so ""~"" turns -1 into ""0"". using ""!!"" turns numbers into boleans (!!0===false)","2012-06-19 02:41:37","1145932"
"107715134","2432799","0","If you are using Intellij Idea, simply open the terminal and change the command. It will work right there to set the origin. Thanks for sharing this!","2020-03-27 08:33:41","2293479"
"29556901","6866485","141","Missing a crucial point: If the said commit was previously 'pushed' to the remote, any 'undo' operation, no matter how simple, will cause enormous pain and suffering to the rest of the users who have this commit in their local copy, when they do a 'git pull' in the future.

So, if the commit was already 'pushed', do this instead:

    git revert <bad-commit-sha1-id>
    git push origin :","2013-11-08 11:43:18","175169"
"29557201","6866485","27","@FractalSpace, it won't cause ""enormous pain and suffering.""  I've done a few force pushes when using Git with a team.  All it takes is communication.","2013-11-09 12:00:10","5486"
"91801040","64966","4","After struggling and cursing for 45 solid minutes, I found @EduardoBezerra's comment... I think the OP should edit his answer to emphasize git clean's behavior - of only deleting stuff in the directory you are - and subdirectories thereof. It's not clear from git help or from the answer itself.","2018-09-20 03:43:29","609285"
"75303632","11828573","21","if you don't have permissions on the file but have sudo permissions `:w ! sudo tee %`","2017-05-23 06:53:12","704087"
"29559369","6866485","25","@Kyralessa In my workplace, messing up entire team's workflow and then telling them how to fix sh*t is not called 'communication'. git history re-write is a destructive operation that results in trashing of parts of the repo. Insisting on its use, while clear and safe alternatives are available is simply irresponsible.","2013-11-09 03:02:51","175169"
"75305553","31028197","8","@cavalcade This is an extremely general method of ensuring the editor is in normal mode then safely quitting.  In normal usage all you need is `:q` or `:wq`","2017-05-23 07:55:36","125415"
"91805349","89255","0","If you want to **create a list out of a command with parameters**, a list which can be used with `subprocess` when `shell=False`, then use `shlex.split` for an easy way to do this https://docs.python.org/2/library/shlex.html#shlex.split (it's the recommended way according to the docs https://docs.python.org/2/library/subprocess.html#popen-constructor)","2018-09-20 06:07:21","277267"
"75308701","231855","532","`yield` is not as magical this answer suggests. When you call a function that contains a `yield` statement anywhere, you get a generator object, but no code runs. Then each time you extract an object from the generator, Python executes code in the function until it comes to a `yield` statement, then pauses and delivers the object. When you extract another object, Python resumes just after the `yield` and continues until it reaches another `yield` (often the same one, but one iteration later). This continues until the function runs off the end, at which point the generator is deemed exhausted.","2017-05-23 09:41:53","3830997"
"75310149","2389361","0","Git - a story of 3 trees (head, index, and working tree explained in a very helpful way): [Reset Demystified](https://git-scm.com/blog/2011/07/11/reset.html)","2017-05-23 10:51:30","1107226"
"91812219","24827594","2","Working in Node >=8.10 for AWS Node.js Lambda, so this is great.  Very clean and simple solution! 👍🏻","2018-09-20 10:48:50","1623926"
"75313991","11828270","105","To prevent `git commit` sending you to vim in the future:                            
`git config --global core.editor=""nano""`","2017-05-24 03:19:49","4216625"
"75314585","11828270","2","Not mentioned yet; but if you are working in a GUI, you can use gvim and close the window. (If there are unsaved changes it will prompt Save/Discard/Cancel).","2017-05-24 04:02:05","1505939"
"75316359","2610497","3","I can see no problem here ... The placeholder's text color is now red.  Maybe other modern browsers now support it.","2017-05-24 05:28:18","4942925"
"75316479","31028197","7","Not general enough! What about if I (a beginner) typed `i<Ctrl-O>gQ<Ctrl-R>=<Ctrl-K>`?","2017-05-24 05:33:56","10311"
"75317467","31028197","1","@porges thanks for the test case! There are also some other test cases which prove that the original method was woeful. I edited the answer to be more general now.","2017-05-24 06:07:53","310344"
"75320223","31028197","0","@HeikkiNaski at least for me I need Enter after Ctrl-C as well (to escape the expression register)","2017-05-24 07:26:23","10311"
"250042","426273","0","you can also go
 $(""#myTable input:checkbox"").each(...);","2009-01-08 10:37:51","9443"
"250074","426276","1","Yes this is setting the attribute value, and uncheck by removing the attribute. I have updated my answer to show this.","2009-01-08 10:48:52","4642"
"250306","426314","4","top one will fail...checked is not a jquery object member","2009-01-09 12:20:07","6440"
"107734470","29505062","0","better, because of [ ! -d directory/path to a directory ]","2020-03-27 07:46:42","1855805"
"29583474","3407920","26","@mmell Only on a rebase, apparently. See [`this question`](http://stackoverflow.com/questions/2959443/why-is-the-meaning-of-ours-and-theirs-reversed-with-git-svn)","2013-11-10 06:19:14","703382"
"60423263","271526","2","Nulls should be avoided in high-level code. Tony Hoare, who invented null references, calls them ""a billion-dollar mistake"". Take a look [here](http://www.softwaregeek.net/2016/04/how-to-avoid-null-checks-in-java.html) for some ideas.","2016-04-04 01:05:50","1856235"
"107740652","7244456","0","what if there is some conflicts after `git rebase upstream/master`? how to solve the conflict?","2020-03-28 03:17:51","6169688"
"91823624","31733623","0","@pspi your answer is lot more clear than any other answers here","2018-09-21 09:16:22","3156006"
"14584427","246128","0","Short version does not work in cygwin when the path is like ""C:\..."". Output of cd is `: No such file or directoryabc` where `abc` is the end of the directory name that contains the script. Second version works though.","2012-06-20 09:59:29","22820"
"60429249","52713","4","@MichałTrybus to clean the whole repository regardless of where you are inside it, you can use `git checkout -- :/` (I was looking for this myself!)","2016-04-04 03:20:52","266309"
"278816","555","1","Given the recent MITM vulnerability surrounding signed SSL certificates (https://blog.startcom.org/?p=145) so a combination of SSL and some kind of Challenge response authentication (There are alternatives to SRP) is probably a better solution.","2009-01-20 12:20:23","13834"
"45200382","22537629","5","I find the most user-friendly configuration format is still INI. It's straightforward and not very syntax heavy. This makes it less intimidating for users just dipping their toes in the configuration pond.","2015-02-10 03:15:18","3774368"
"75334864","122102","12","Note that `JSON` method will loose any Javascript types that have no equivalent in JSON. For example: `JSON.parse(JSON.stringify({a:null,b:NaN,c:Infinity,d:undefined,e:function(){},f:Number,g:false}))` will generate `{a: null, b: null, c: null, g: false}`","2017-05-24 01:06:47","3356679"
"91831513","51515986","0","Exactly! It resets your changes to the HEAD of the branch! Not doing one by one","2018-09-21 01:05:29","1272263"
"60433322","35737150","3","This will also remove valid changes to tracked files. I wouldn't recommend it.","2016-04-04 05:06:21","4594973"
"29587123","14415881","15","I know this doesn't answer your question in a theoretical sense, but practically speaking, nobody's looking at your socks.  Not pairing them is O(k).","2013-11-10 11:25:32","929845"
"14589550","630471","4","`POST /items` adds a new item to an already defined resource ('item'). It does not, as the answer says, ""create a group."" I don't understand why this has 12 votes.","2012-06-21 05:26:07","109618"
"14589578","630471","0","Out of the box, Rails does not support 'creating a group' via REST. To 'create a group' by which I mean 'create a resource' you have to do it via the source code.","2012-06-21 05:28:13","109618"
"107765594","59498318","0","Nice, others answers didn't work, this did using MainActivity with EditText control","2020-03-29 08:34:10","1423608"
"45215639","8888015","12","Commits that weren't pushes before the hard reset can be recovered using `git reflog`, which list all commits, also those without a base. Until you cleanup your local copy using `git gc`, then all is lost","2015-02-10 10:24:27","189431"
"14604510","630471","0","It has 12 votes because it predates the change that was made that added the group thing. I've reverted the change.","2012-06-21 03:20:37","722"
"303010","555","0","a lot of this stuff is situational. i tend not to use session cookies at all. cookies getting hijacked is almost always the servers fault. man in the middle / packet sniffing arent that common","2009-01-28 05:26:01","26"
"303545","487271","6","A hashtable requires an algorithm to run to calculate the index of the  actual array ( depending on the implementation ). And an array just have O(1) because it's just an adress. But this has nothing to do with the question, just an observation :)","2009-01-28 11:29:54","39106"
"303554","487271","7","jon's explanation has very much todo with the question i think. it's exactly how one could explain it to some mum, and she would eventually understand it i think :) i like the clothes example (in particular the last, where it explains the exponential growth of complexity)","2009-01-28 11:32:26","34509"
"303556","487271","0","Oh i don't mean the whole answer, just the hashtable lookup and that it can, actually, Never be as fast as a direct adressing :)","2009-01-28 11:34:04","39106"
"303563","487279","2","It's not about space.  It's about complexity which means time.","2009-01-28 11:35:02","10661"
"303566","487271","4","Filip: I'm not talking about address an array by index, I'm talking about finding a matching entry in an array. Could you reread the answer and see if that's still unclear?","2009-01-28 11:35:58","22656"
"303591","487278","607","While the other answers focus on explaining the differences between O(1), O(n^2) et al.... yours is the one which details how algorithms can get classified into n^2, nlog(n) etc. +1 for a good answer that helped me understand Big O notation as well","2009-01-28 11:42:39","54440"
"303642","487258","1","If this is a duplicate of anything, it is: http://stackoverflow.com/questions/107165/big-o-for-eight-year-olds","2009-01-28 12:03:01","2635"
"303686","487278","0","I like the explanation. It is important to note that big O is about worst-case complexity, e.g. For sorting - for the sequence which requires the most operations, For multiplication - probably the largest possible input numbers, etc.","2009-01-28 12:25:11","1702"
"303696","487278","0","It's not about ""worst-case"" it's used to define best-, worst- and general-case.","2009-01-28 12:29:15","39106"
"303759","487279","14","I have always believed it can be about time OR space. but not about both at the same time.","2009-01-28 12:58:59","47026"
"60445207","35737150","2","Yeah, you'd want to commit changes to tracked files first.","2016-04-05 12:01:29","304712"
"309811","487278","1","A couple of other points here is that the complexity can be either time or space and that one can talk about the big-O of best, average, or worst case scenarios, or at least that is what I remember from school.","2009-01-30 01:05:12","8745"
"75358918","11828573","1","What's the difference between ""Save and quit"" and ""Write and quit""?","2017-05-25 03:20:50","3357935"
"75360901","16047306","30","Docker isn't a virtual machine - it is a configuration management tool.","2017-05-25 05:19:33","150050"
"313253","487278","1","...NP-complete...: That's not correct - a problem that is solvable in n^a time is said to be in P, polynomial time. A problem that is NP-complete means that if this problem is solvable in P time, then every NP problem is solvable in P time. NP-hard just means that it's harder than the hardest NP.","2009-01-30 10:16:23","39808"
"75361526","11828573","2","If you have only read only permissions to the file, `:wq!` won't write it. If that happened, it would be a security flaw in the OS.","2017-05-25 05:48:03","2613444"
"45228250","16957175","11","ack or ack-grep has nice highlights, but find+grep when proper used is much better in performance","2015-02-11 09:00:16","1416144"
"319208","487278","24","one might want to add that big-O represents an upper bound (given by an algorithm), big-Omega give a lower bound (usually given as a proof independent from a specific algorithm) and big-Theta means that an ""optimal"" algorithm reaching that lower bound is known.","2009-02-02 07:16:22","25318"
"29603857","5801728","1","Actually, these are accurate examples.  On the Web, this is very often the difference.","2013-11-11 03:49:38","1188377"
